"Pos","Name","Ct SYBR","Target SYBR"
"A1","52MA",22.14,"COX2.1"
"A2","52MA",18.95,"COX2.1"
"A3","52MA",17.82,"COX2.1"
"A4","UW12M",15.68,"COX2.1"
"A5","UW12M",13.51,"COX2.1"
"A6","UW12M",12.78,"COX2.1"
"A7","193MA",29.09,"COX2.1"
"A8","193MA",27.11,"COX2.1"
"A9","193MA",26.50,"COX2.1"
"A10","R03F",31.80,"COX2.1"
"A11","R03F",29.35,"COX2.1"
"A12","R03F",28.52,"COX2.1"
"B1","52MA",18.78,"COX2.2"
"B2","52MA",17.11,"COX2.2"
"B3","52MA",16.45,"COX2.2"
"B4","UW12M",13.41,"COX2.2"
"B5","UW12M",12.08,"COX2.2"
"B6","UW12M",11.45,"COX2.2"
"B7","193MA",27.93,"COX2.2"
"B8","193MA",26.56,"COX2.2"
"B9","193MA",26.41,"COX2.2"
"B10","R03F",27.50,"COX2.2"
"B11","R03F",26.28,"COX2.2"
"B12","R03F",26.45,"COX2.2"
"C1","52MA",16.63,"60SPS27"
"C2","52MA",15.38,"60SPS27"
"C3","52MA",15.54,"60SPS27"
"C4","UW12M",11.30,"60SPS27"
"C5","UW12M",10.47,"60SPS27"
"C6","UW12M",10.41,"60SPS27"
"C7","193MA",27.42,"60SPS27"
"C8","193MA",24.11,"60SPS27"
"C9","193MA",25.95,"60SPS27"
"C10","R03F",26.52,"60SPS27"
"C11","R03F",25.79,"60SPS27"
"C12","R03F",26.13,"60SPS27"
"D1","52MA",16.30,"40SP24"
"D4","UW12M",10.97,"40SP24"
"D5","UW12M",11.42,"40SP24"
"D7","193MA",28.49,"40SP24"
"D8","193MA",25.46,"40SP24"
"D9","193MA",27.56,"40SP24"
"D10","R03F",27.10,"40SP24"
"D11","R03F",27.33,"40SP24"
