"Pos","Name","Ct SYBR","Amount SYBR","Target SYBR"
"A1","197W",24.19,"-","60S"
"A2","197W",24.73,"-","60S"
"A3","197W",22.76,"-","60S"
"A4","AJT19BW",21.97,"-","60S"
"A5","AJT19BW",21.57,"-","60S"
"A6","AJT19BW",20.80,"-","60S"
"A7","UP5F",24.68,"-","60S"
"A8","UP5F",24.83,"-","60S"
"A9","UP5F",23.60,"-","60S"
"A10","UP6F",25.97,"-","60S"
"A11","UP6F",27.45,"-","60S"
"A12","UP6F",24.51,"-","60S"
"B1","197W",31.73,"-","86qs"
"B3","197W",30.06,"-","86qs"
"B5","AJT19BW",35.92,"-","86qs"
"B7","UP5F",36.56,"-","86qs"
"B8","UP5F",35.57,"-","86qs"
"B10","UP6F",29.60,"-","86qs"
"B11","UP6F",30.92,"-","86qs"
"B12","UP6F",29.64,"-","86qs"
"C4","AJT19BW",34.52,"-","3218qs"
"C5","AJT19BW",34.43,"-","3218qs"
"C6","AJT19BW",32.94,"-","3218qs"
"C8","UP5F",34.15,"-","3218qs"
"C9","UP5F",35.29,"-","3218qs"
"C11","UP6F",34.79,"-","3218qs"
"C12","UP6F",35.42,"-","3218qs"
"D1","197W",31.44,"-","644qs"
"D2","197W",31.60,"-","644qs"
"D3","197W",28.44,"-","644qs"
"D4","AJT19BW",35.61,"-","644qs"
"D5","AJT19BW",34.23,"-","644qs"
"D6","AJT19BW",31.38,"-","644qs"
"D7","UP5F",28.84,"-","644qs"
"D8","UP5F",29.09,"-","644qs"
"D9","UP5F",28.03,"-","644qs"
"D10","UP6F",34.65,"-","644qs"
"D11","UP6F",34.23,"-","644qs"
"D12","UP6F",34.56,"-","644qs"
"E2","197W",30.43,"-","76qs"
"E3","197W",29.95,"-","76qs"
"E6","AJT19BW",33.53,"-","76qs"
"E7","UP5F",29.24,"-","76qs"
"E8","UP5F",29.94,"-","76qs"
"E9","UP5F",27.97,"-","76qs"
"E10","UP6F",35.01,"-","76qs"
"F1","197W",34.40,"-","7271qs"
"F2","197W",32.52,"-","7271qs"
"F3","197W",30.91,"-","7271qs"
"F5","AJT19BW",34.69,"-","7271qs"
"F6","AJT19BW",30.13,"-","7271qs"
"F7","UP5F",27.92,"-","7271qs"
"F8","UP5F",29.26,"-","7271qs"
"F9","UP5F",27.38,"-","7271qs"
"F11","UP6F",34.90,"-","7271qs"
"F12","UP6F",33.07,"-","7271qs"
